treeID,x,y
3111,219,182
29467,3,192
29468,3,209
29472,2,86
29474,1,117
29475,1,132
29476,1,146
29477,54,156
29478,28,86
29479,28,117
29480,28,146
29481,37,182
29482,29,192
29484,109,183
29485,144,157
29486,146,182
29487,183,182
29488,200,183
29489,183,157
29490,219,156
35104,1,26
35105,2,57
35112,27,26
35113,28,41
35114,28,56
44123,164,157
47962,27,75
47964,28,130
48298,167,183
50733,70,156
53633,84,157
73607,29,211
73620,99,183
73621,113,156
73622,135,157
73623,188,157
74031,58,183
74032,49,182
76155,28,100
