City,percent canopy,Total Land(acres),percent impervious,impervious(acres),Total i-Tree benefits($),Carbon Dioxide Uptake($),Carbon Sequestered(tn),CO2 Equivalent1(tn),Storm Water Mitigation($),Runoff Avoided(MG/yr),Rainfall Intercepted(MG/yr),Air Pollution Removal($),Carbon Monoxide(lb/yr),Ozone(lb/yr),Nitrogen Dioxide(lb/yr),Sulfur Dioxide(lb/yr),PM2.5(lb/yr),Carbon Dioxide Uptake($)-2,Carbon Storage(tn),CO2 Equivalent1(tn)-2
CA_Acton,3.42,859,3.22,808,687911,679788,1571,5760,5107,1,41,3016,2219,75933,18533,5196,1983,12551925,29007,106357
CA_Agoura Hills,9.22,460,26.42,1318,728270,362691,838,3073,60770,7,18,304809,1083,38480,6924,1395,582,6773525,15653,57395
CA_Agoura Hills-Malibu,9.22,460,26.42,1318,728270,362691,838,3073,60770,7,18,304809,1083,38480,6924,1395,582,6773525,15653,57395
CA_Agua Dulce,4.04,590,3.26,477,472226,466650,1078,3954,3505,0,28,2071,1523,52120,12721,3566,1361,8613593,19905,72986
CA_Alhambra,5.16,252,66.27,3236,399629,199410,461,1690,33283,4,10,166937,593,21074,3792,764,318,3676920,8497,31156
CA_Alondra Park,4.38,31,54.72,388,49148,24523,57,208,4093,0,1,20531,73,2592,466,94,39,452185,1045,3832
CA_Altadena,16.67,929,25.74,1435,1462282,723791,1673,6133,122760,14,37,615731,2187,77729,13987,2818,1175,14049022,32466,119043
CA_Arcadia,9.68,677,47.66,3332,1071774,533999,1234,4525,89395,10,27,448380,1593,56603,10185,2052,855,9942697,22977,84248
CA_Artesia,4.02,42,70.42,730,66211,33036,76,280,5514,1,2,27660,98,3492,628,127,53,609159,1408,5162
CA_Avalon,19.87,373,7.43,140,406270,256193,592,2171,25764,3,16,124314,921,32106,6835,1695,667,7069831,16338,59905
CA_Avocado Heights,5.78,100,52.9,916,158562,79042,183,670,13219,1,4,66301,235,8370,1506,303,127,1466773,3390,12429
CA_Azusa,7.14,441,40.59,2508,692936,342298,791,2900,58287,7,17,292351,1038,36906,6641,1338,558,6726560,15545,56997
CA_Baldwin Park,3.36,143,62.46,2651,226124,112832,261,956,18832,2,6,94459,336,11924,2146,432,180,2080516,4808,17629
CA_Bell,2.68,43,78.02,1249,67906,33884,78,287,5656,1,2,28367,101,3581,644,130,54,624779,1444,5294
CA_Bell Gardens,3.87,61,71.87,1131,96567,48185,111,408,8043,1,2,40340,143,5092,916,185,77,888479,2053,7528
CA_Bellflower,3.96,155,69.63,2726,245759,122627,283,1039,20468,2,6,102664,365,12960,2332,470,196,2261119,5225,19159
CA_Beverly Hills,12.11,442,53.3,1947,699818,348269,805,2951,58438,7,17,293111,1041,37002,6658,1342,559,6532970,15097,55356
CA_Bradbury,21.53,270,10.84,136,414155,199772,462,1693,35637,4,11,178746,635,22565,4060,818,341,4507103,10416,38190
CA_Burbank,7.18,797,50.19,5570,1264024,630544,1457,5343,105304,12,31,528176,1876,66677,11998,2417,1008,11650078,26922,98716
CA_Calabasas,11.86,979,17.35,1432,1155992,762205,1761,6458,67601,8,43,326187,2417,84241,17934,4446,1749,14831639,34275,125674
CA_Carson,2.83,339,75.58,9058,537723,268304,620,2273,44785,5,13,224633,798,28357,5103,1028,429,4947272,11433,41920
CA_Castaic,5.85,272,18.86,877,429622,213690,494,1811,35894,4,11,180037,640,22728,4090,824,343,4023826,9299,34095
CA_Cerritos,6.18,345,65.5,3658,547810,273339,632,2316,45625,5,14,228845,813,28889,5199,1047,437,5040110,11647,42707
CA_Charter Oak,4.98,30,60.97,362,46891,23399,54,198,3905,0,1,19587,70,2473,445,90,37,431446,997,3656
CA_Citrus,6.36,36,57.08,324,57285,28584,66,242,4771,1,1,23930,85,3021,544,110,46,527057,1218,4466
CA_Claremont,14.33,1224,25.74,2199,1938510,965734,2232,8183,161705,18,48,811070,2881,102389,18424,3712,1547,17993815,41582,152469
CA_Commerce,0.93,39,86.46,3617,61509,30692,71,260,5123,1,2,25695,91,3244,584,118,49,565923,1308,4795
CA_Compton,3.44,220,70.03,4488,349166,174223,403,1476,29081,3,9,145862,518,18413,3313,668,278,3212503,7424,27221
CA_Covina,6.18,278,60.76,2732,438768,217995,504,1847,36699,4,11,184073,654,23237,4182,842,351,4132456,9550,35016
CA_Cudahy,2.66,20,76.44,575,31768,15852,37,134,2646,0,1,13270,47,1675,301,61,25,292295,675,2477
CA_Culver City,6.77,221,68.6,2244,350717,174806,404,1481,29242,3,9,146669,521,18515,3332,671,280,3246436,7502,27508
