City,Existing canopy(acres),Plantable space(acres),10% benefit($),Carbon beneift(tn),storm water benefit(gal),air benefit(lb)
CA_Acton,859,23457,813,2901,57140,11503
CA_Agoura Hills,460,3210,36558,1565,680058,5822
CA_Agoura Hills-Malibu,460,3210,36558,1565,680058,5822
CA_Agua Dulce,590,13548,557,1991,39230,7896
CA_Alhambra,252,1395,20023,850,372456,3188
CA_Alondra Park,31,290,2462,104,45807,392
CA_Altadena,929,3211,73850,3247,1373774,11760
CA_Arcadia,677,2983,53778,2298,1000393,8564
CA_Artesia,42,265,3316,141,61711,528
CA_Avalon,373,1366,15008,1634,288317,4861
CA_Avocado Heights,100,716,7953,339,147910,1266
CA_Azusa,441,3231,35065,1554,652267,5584
CA_Baldwin Park,143,1450,11328,481,210730,1804
CA_Bell,43,309,3402,144,63296,542
CA_Bell Gardens,61,382,4838,205,90003,770
CA_Bellflower,155,1034,12314,523,229064,1961
CA_Beverly Hills,442,1264,35156,1510,653958,5598
CA_Bradbury,270,847,21438,1042,398794,3413
CA_Burbank,797,4731,63348,2692,1178419,10087
CA_Calabasas,979,5845,39379,3427,756510,12754
CA_Carson,339,2587,26940,1143,501187,4290
CA_Castaic,272,3499,21594,930,401674,3438
CA_Cerritos,345,1581,27447,1165,510592,4371
CA_Charter Oak,30,202,2349,100,43694,374
CA_Citrus,36,207,2869,122,53389,457
CA_Claremont,1224,5120,97277,4158,1809579,15491
CA_Commerce,39,528,3080,131,57325,491
CA_Compton,220,1700,17494,742,325434,2786
CA_Covina,278,1486,22077,955,410682,3515
CA_Cudahy,20,157,1594,68,29614,253
CA_Culver City,221,806,17591,750,327230,2801
CA_Del Aire,31,172,2480,105,46151,395
CA_Desert View Highlands,12,150,966,41,17990,154
CA_Diamond Bar,1168,5055,92841,4194,1727025,14784
CA_Downey,413,2456,32796,1392,610132,5223
CA_Duarte,1780,5067,71584,6280,1375200,23184
CA_East Compton,27,172,2140,91,39784,341
CA_East La Mirada,45,244,3543,150,65885,563
CA_East Los Angeles,155,1255,12285,523,228509,1957
CA_East Pasadena,90,384,7119,302,132429,1133
CA_East Rancho Dominguez,27,172,2140,91,39784,341
CA_East San Gabriel,82,376,6481,275,120542,1032
CA_East San Gabriel Valley,82,376,6481,275,120542,1032
CA_El Monte,208,1869,16552,702,307893,2636
CA_El Segundo,140,701,11153,476,207454,1776
CA_Elizabeth Lake,325,3608,308,1126,21609,4347
CA_Florence-Graham,67,491,5306,225,98668,845
CA_Gardena,95,713,7518,319,139800,1196
CA_Glendale,2859,10179,227149,10304,4225485,36171
CA_Glendora,2144,7004,86195,7805,1655910,27917
CA_Green Valley,1624,6532,1536,7649,108020,21743
CA_Hacienda Heights,887,3614,70501,3564,1311482,11226
CA_Hasley Canyon,192,3406,181,654,12786,2572
CA_Hawaiian Gardens,23,133,1863,79,34659,297
CA_Hawthorne,99,679,7884,335,146695,1255
CA_Hermosa Beach,34,194,2737,116,50932,436
CA_Hidden Hills,160,687,12723,553,236698,2026
CA_Huntington Park,47,334,3734,159,69477,595
CA_Industry,311,2031,24701,1062,459501,3933
CA_Inglewood,249,1514,19750,839,367410,3145
CA_Irwindale,123,3546,9807,416,182437,1562
CA_La Canada Flintridge,1178,3227,93611,4408,1741369,14907
CA_La Crescenta-Montrose,339,1149,26965,1167,501610,4294
CA_La Habra Heights,693,2714,55079,2690,1024618,8771
CA_La Mirada,362,1542,28774,1221,535239,4582
CA_La Puente,135,811,10697,454,199001,1703
CA_La Verne,607,2571,48206,2188,896732,7676
CA_Ladera Heights,156,1040,12415,531,230939,1977
CA_Lake Hughes,811,5929,767,2951,53891,10850
CA_Lake Los Angeles,103,5696,8176,347,152057,1302
CA_Lakewood,402,1894,31957,1356,594440,5089
