Nation,State,County,Place,Latitude,Longitude,Elevation (meters)
United States of America,California,Alameda,Alameda,37.763971,-122.25681,0.837066352
United States of America,California,Alameda,Alameda,37.7644706,-122.2832729,
United States of America,California,Alameda,Albany,37.891575,-122.295923,17.52662086
United States of America,California,Alameda,Ashland,37.69463,-122.116433,12.43928719
United States of America,California,Alameda,Berkeley,37.868162,-122.3089629,
United States of America,California,Alameda,Berkeley,37.871775,-122.274603,49.00592804
United States of America,California,Alameda,Castro Valley,37.703796,-122.079384,60.62269211
United States of America,California,Alameda,Cherryland,37.679831,-122.102274,20.1223774
United States of America,California,Alameda,Dublin,37.714229,-121.912496,106.0405426
United States of America,California,Alameda,Emeryville,37.835926,-122.287253,6.074030399
United States of America,California,Alameda,Fairview,37.677664,-122.053088,111.6283493
United States of America,California,Alameda,Fremont,37.542943,-121.982786,15.44300079
United States of America,California,Alameda,Fremont,37.5365346,-122.0047359,
United States of America,California,Alameda,Hayward,37.6808244,-122.0879263,
United States of America,California,Alameda,Hayward,37.64545433,-122.010226,379.7868958
United States of America,California,Alameda,Livermore,37.685496,-121.764096,151.4400482
United States of America,California,Alameda,Livermore-Pleasanton,37.6193177,-121.7216797,
United States of America,California,Alameda,Newark,37.535586,-122.033629,7.128709316
United States of America,California,Alameda,Oakland,37.7717943,-122.2239551,
United States of America,California,Alameda,Oakland,37.798394,-122.1958395,101.5691986
United States of America,California,Alameda,Piedmont,37.821994,-122.231405,92.19165039
United States of America,California,Alameda,Pleasanton,37.67253,-121.882517,103.639328
United States of America,California,Alameda,San Leandro,37.716432,-122.174247,9.09249115
United States of America,California,Alameda,San Lorenzo,37.675181,-122.133752,7.709934235
United States of America,California,Alameda,Sunol,37.601062,-121.907967,249.412796
United States of America,California,Alameda,Union City,37.605592,-122.0347255,19.96749496
United States of America,California,Alpine,Alpine Village,38.777694,-119.820152,1695.824463
United States of America,California,Alpine,Bear Valley,38.466335,-120.045411,2202.38916
United States of America,California,Alpine,Kirkwood,38.688329,-120.05516,2597.133301
United States of America,California,Alpine,Markleeville,38.6176096,-119.7989986,
United States of America,California,Alpine,Markleeville,38.689148,-119.797184,1730.269165
United States of America,California,Alpine,Mesa Vista,38.793034,-119.806138,1706.603882
United States of America,California,Amador,Amador City,38.418092,-120.824342,287.9306335
United States of America,California,Amador,Buckhorn,38.453122,-120.535466,937
United States of America,California,Amador,Buena Vista,38.297445,-120.917948,120
United States of America,California,Amador,Camanche North Shore,38.244343,-120.953905,115
United States of America,California,Amador,Camanche Village,38.266189,-120.986608,74
United States of America,California,Amador,Drytown,38.438231,-120.85653,260
United States of America,California,Amador,Fiddletown,38.509115,-120.760507,550
United States of America,California,Amador,Ione,38.3474089,-120.9412746,
United States of America,California,Amador,Ione,38.354225,-120.937658,93.57863617
United States of America,California,Amador,Jackson,38.3296277,-120.7884337,
United States of America,California,Amador,Jackson,38.350688,-120.773762,380.3120117
United States of America,California,Amador,Kirkwood,38.688329,-120.05516,2597.133301
United States of America,California,Amador,Martell,38.361996,-120.804068,468
United States of America,California,Amador,Pine Grove,38.407385,-120.660607,600
United States of America,California,Amador,Pine Grove-Silver Lake,38.4997248,-120.3264559,
United States of America,California,Amador,Pioneer,38.435479,-120.584855,858
United States of America,California,Amador,Plymouth,38.479339,-120.847721,323.3050842
United States of America,California,Amador,Red Corral,38.411648,-120.605516,699
United States of America,California,Amador,River Pines,38.545422,-120.747468,575
United States of America,California,Amador,Sutter Creek,38.38507467,-120.8045817,452.3084106
United States of America,California,Amador,Sutter Creek-Plymouth,38.4734154,-120.7927963,
United States of America,California,Amador,Volcano,38.445571,-120.630534,798
United States of America,California,Butte,Bangor,39.376091,-121.411653,139
United States of America,California,Butte,Berry Creek,39.631358,-121.405226,412
United States of America,California,Butte,Biggs,39.41382,-121.710316,29.09767151
United States of America,California,Butte,Biggs,39.4540994,-121.7723641,
United States of America,California,Butte,Butte Creek Canyon,39.748871,-121.696862,234
United States of America,California,Butte,Butte Meadows,40.087156,-121.536948,1394
United States of America,California,Butte,Butte Valley,39.657088,-121.636333,297
United States of America,California,Butte,Cherokee,39.651391,-121.534483,346
United States of America,California,Butte,Chico,39.754213,-121.8088635,75.3813324
United States of America,California,Butte,Chico,39.7694918,-121.9293366,
United States of America,California,Butte,Clipper Mills,39.532423,-121.166551,1124
United States of America,California,Butte,Cohasset,39.902729,-121.744794,1156
United States of America,California,Butte,Concow,39.737113,-121.514461,626.7296753
United States of America,California,Butte,Durham,39.5969309,-121.8415821,
United States of America,California,Butte,Durham,39.671776,-121.8039285,54.6602478
United States of America,California,Butte,Feather Falls,39.6655389,-121.3519555,
United States of America,California,Butte,Forbestown,39.530038,-121.268946,429
United States of America,California,Butte,Forest Ranch,39.895186,-121.670475,695
United States of America,California,Butte,Gridley,39.362728,-121.698016,28.12833214
United States of America,California,Butte,Gridley,39.3392635,-121.7707851,
United States of America,California,Butte,Honcut,39.33259,-121.538753,30
United States of America,California,Butte,Kelly Ridge,39.528804,-121.466258,254
United States of America,California,Butte,Magalia,39.826009,-121.603408,721.319397
United States of America,California,Butte,Nord,39.773788,-121.954905,47
United States of America,California,Butte,Oroville,39.4825945,-121.558297,57.49797058
United States of America,California,Butte,Oroville,39.5431739,-121.5599876,
United States of America,California,Butte,Oroville East,39.496237,-121.502978,113.4183655
United States of America,California,Butte,Palermo,39.3923244,-121.5065211,
United States of America,California,Butte,Palermo,39.451744,-121.5371305,70.48412323
United States of America,California,Butte,Paradise,39.7539155,-121.587264,560.1170044
United States of America,California,Butte,Paradise,39.8812777,-121.6224936,
United States of America,California,Butte,Rackerby,39.426114,-121.354188,490
United States of America,California,Butte,Richvale,39.493738,-121.750769,31
United States of America,California,Butte,Robinson Mill,39.485626,-121.320163,726
United States of America,California,Butte,South Oroville,39.488694,-121.537943,97.62200928
United States of America,California,Butte,Stirling City,39.906349,-121.536144,1085
United States of America,California,Butte,Thermalito,39.498942,-121.600719,50.87805557
United States of America,California,Butte,Yankee Hill,39.700631,-121.514779,573
United States of America,California,Calaveras,Angels,38.070689,-120.550137,529
United States of America,California,Calaveras,Angels City,38.034483,-120.609384,
United States of America,California,Calaveras,Angels City,38.073523,-120.54915,484.9519653
United States of America,California,Calaveras,Arnold,38.252601,-120.347543,1294.832153
United States of America,California,Calaveras,Arnold-West Point,38.3675859,-120.3478283,
United States of America,California,Calaveras,Avery,38.195652,-120.366719,1022.679138
United States of America,California,Calaveras,Copperopolis,37.935144,-120.62746,212.2861481
United States of America,California,Calaveras,Dorrington,38.301509,-120.273381,1486.816406
United States of America,California,Calaveras,Forest Meadows,38.169797,-120.398058,1056.260376
United States of America,California,Calaveras,Mokelumne Hill,38.300404,-120.706343,448.6045837
United States of America,California,Calaveras,Mountain Ranch,38.263311,-120.5087585,730.8753662
United States of America,California,Calaveras,Murphys,38.146748,-120.4454435,721.1641846
United States of America,California,Calaveras,Rail Road Flat,38.324115,-120.50793,823.7288818
United States of America,California,Calaveras,Rancho Calaveras,38.124407,-120.859036,144.4308929
United States of America,California,Calaveras,San Andreas,38.195815,-120.678085,301.6578979
United States of America,California,Calaveras,San Andreas,38.1897296,-120.7113824,
United States of America,California,Calaveras,Vallecito,38.084228,-120.464431,542.2723389
United States of America,California,Calaveras,Valley Springs,38.171217,-120.829035,197.5876617
United States of America,California,Calaveras,Wallace,38.192911,-120.957759,97.97927094
United States of America,California,Calaveras,West Point,38.399135,-120.529572,843.9946289
United States of America,California,Colusa,Arbuckle,39.018435,-122.0593,41.96749878
United States of America,California,Colusa,Central Colusa,39.1321201,-122.118204,
United States of America,California,Colusa,College City,39.006303,-122.006828,11
United States of America,California,Colusa,Colusa,39.209354,-122.010436,17.24377632
United States of America,California,Colusa,East Colusa,39.1782264,-121.9763002,
United States of America,California,Colusa,Grimes,39.074154,-121.898776,12
United States of America,California,Colusa,Lodoga,39.304272,-122.505945,367
United States of America,California,Colusa,Maxwell,39.277078,-122.194676,26
United States of America,California,Colusa,Princeton,39.40285,-122.021224,24
United States of America,California,Colusa,Stonyford,39.370342,-122.544468,346
United States of America,California,Colusa,West Colusa,39.2134699,-122.4265129,
United States of America,California,Colusa,Williams,39.152772,-122.148842,26.05102158
United States of America,California,Contra Costa,Acalanes Ridge,37.904722,-122.078574,147
United States of America,California,Contra Costa,Alamo,37.858988,-122.032722,85.31008911
United States of America,California,Contra Costa,Alhambra Valley,37.968658,-122.136326,208
United States of America,California,Contra Costa,Antioch,37.975696,-121.794441,64.79142761
United States of America,California,Contra Costa,Antioch-Pittsburg,38.0093425,-121.8681271,
United States of America,California,Contra Costa,Bay Point,38.027688,-121.965697,30.838377
United States of America,California,Contra Costa,Bayview,38.005694,-122.320635,10
United States of America,California,Contra Costa,Bayview-Montalvin,38.000805,-122.325242,7.403813362
United States of America,California,Contra Costa,Bethel Island,38.022778,-121.629106,-0.389538348
United States of America,California,Contra Costa,Blackhawk,37.815979,-121.907142,217
United States of America,California,Contra Costa,Blackhawk-Camino Tassajara,37.821054,-121.923036,232.1649475
United States of America,California,Contra Costa,Brentwood,37.935311,-121.709536,23.7329998
United States of America,California,Contra Costa,Briones,37.9544588,-122.1903986,
United States of America,California,Contra Costa,Byron,37.871675,-121.639028,8.934370041
United States of America,California,Contra Costa,Camino Tassajara,37.790965,-121.884978,216
United States of America,California,Contra Costa,Castle Hill,37.872963,-122.057333,78
United States of America,California,Contra Costa,Central Contra Costa,37.9003583,-122.0375418,
United States of America,California,Contra Costa,Clayton,37.9326235,-121.9239055,152.9064636
United States of America,California,Contra Costa,Clyde,38.02672,-122.029545,8.367673874
United States of America,California,Contra Costa,Concord,37.9657485,-121.9771035,68.51200104
United States of America,California,Contra Costa,Crockett,38.05282,-122.2234,25.31459045
United States of America,California,Contra Costa,Danville,37.8041205,-121.9480005,151.7756805
United States of America,California,Contra Costa,Diablo,37.835451,-121.957588,174.0483398
United States of America,California,Contra Costa,Discovery Bay,37.906386,-121.606622,2.821625948
United States of America,California,Contra Costa,East Contra Costa,37.9449952,-121.6475434,
United States of America,California,Contra Costa,East Richmond Heights,37.944256,-122.314001,109.5068741
United States of America,California,Contra Costa,El Cerrito,37.917424,-122.305029,35.38410568
United States of America,California,Contra Costa,El Sobrante,37.968535,-122.295883,39.83203125
United States of America,California,Contra Costa,Hercules,38.003886,-122.2552825,68.19661713
United States of America,California,Contra Costa,Kensington,37.9056185,-122.2723865,229.007431
United States of America,California,Contra Costa,Knightsen,37.969189,-121.665538,8.732999802
United States of America,California,Contra Costa,Lafayette,37.891224,-122.111615,80.19737244
United States of America,California,Contra Costa,Martinez,37.9940985,-122.1293725,27.77305412
United States of America,California,Contra Costa,Montalvin Manor,37.997664,-122.329652,10
United States of America,California,Contra Costa,Moraga,37.843776,-122.1245,180.2841492
United States of America,California,Contra Costa,Moraga,37.843826,-122.123087,161
United States of America,California,Contra Costa,Mountain View,38.008821,-122.116424,22.21462822
United States of America,California,Contra Costa,Norris Canyon,37.746034,-121.988785,189
United States of America,California,Contra Costa,North Gate,37.906152,-121.998184,63
United States of America,California,Contra Costa,North Richmond,37.964584,-122.372808,4
United States of America,California,Contra Costa,Oakley,37.9959335,-121.734103,9.657806396
United States of America,California,Contra Costa,Orinda,37.89301,-122.1925165,138.0966187
United States of America,California,Contra Costa,Pacheco,37.986822,-122.068547,5.133242607
United States of America,California,Contra Costa,Pinole,37.997509,-122.292086,81.49092865
United States of America,California,Contra Costa,Pittsburg,38.014281,-121.9208295,42.12053299
United States of America,California,Contra Costa,Pleasant Hill,37.951672,-122.072324,14.68642426
United States of America,California,Contra Costa,Port Costa,38.045987,-122.185246,19.22484207
United States of America,California,Contra Costa,Reliez Valley,37.939919,-122.102696,91
United States of America,California,Contra Costa,Richmond,37.948702,-122.295088,164.7753143
United States of America,California,Contra Costa,Rodeo,38.031271,-122.262139,27.84004593
United States of America,California,Contra Costa,Rollingwood,37.965573,-122.331416,22.26200867
United States of America,California,Contra Costa,San Miguel,37.886699,-122.036831,66
United States of America,California,Contra Costa,San Pablo,37.961623,-122.345093,15.74200153
United States of America,California,Contra Costa,San Ramon,37.7739255,-121.9384225,194.5831146
United States of America,California,Contra Costa,Saranap,37.887815,-122.076126,103
United States of America,California,Contra Costa,Shell Ridge,37.905919,-122.034393,37
United States of America,California,Contra Costa,Tara Hills,37.994655,-122.318306,35.63492203
United States of America,California,Contra Costa,Tassajara,37.8493587,-121.8159372,
United States of America,California,Contra Costa,Vine Hill,38.009904,-122.086846,14.80171394
United States of America,California,Contra Costa,Waldon,37.928223,-122.054276,27.00253487
